Gene 	Time_1	Time_2	Time_4
YLR195C	0.125616	0.320381	-0.106308
YLR209C	0.454761	0.200302	0.097381
YLR210W	0.336931	0.419822	0.557824
YLR213C	0.12823	0.227428	0.017334
YLR220W	0.119505	0.160357	0.117235
YLR013W	-0.131078	-0.276892	0.042339
YLR263W	0.505133	0.407959	-0.091928
YLR307W	0.518384	0.533517	-0.238521
YLR308W	0.424496	0.421747	-0.324215
YLR314C	0.586569	0.062979	0.038284
YML034W	0.598136	0.450939	0.318258
YML065W	0.559346	0.398606	0.471611
YMR001C	0.531608	0.428144	0.243148
YMR017W	0.490274	0.341816	0.371928
YMR125W	0.341765	0.469665	-0.01009
YMR133W	0.427544	0.438901	0.357771
YMR198W	0.498268	0.304909	0.551558
YMR232W	0.363511	0.412862	-0.207525
YNL128W	0.4301	0.308552	-0.173456
YNL196C	0.412594	0.349906	-0.399664
YNL204C	0.24221	0.18599	-0.290866
YNL219C	0.192703	0.342063	-0.203003
YNL225C	0.212567	0.096708	-0.084649
YNL270C	0.15533	0.242424	-0.028742
YNL318C	0.211008	0.050395	-0.10065
YNR034W	0.174187	0.493182	0.043403
YOR033C	0.472881	0.103309	-0.146744
YOL091W	0.416013	0.493595	-0.04753
YOL104C	0.295643	0.547159	-0.043426
YOR190W	0.06564	0.481127	0.118913
YOR242C	0.453396	0.242572	-0.013848
YOR249C	0.218426	0.310366	0.431455
YOR313C	0.51281	0.442773	0.582894
YOR339C	0.227994	0.495308	0.225144
YOR355W	0.168991	0.302036	0.059269
YPL021W	0.325377	0.416877	0.398734
YPL121C	0.114852	0.463525	0.212897
YPL130W	-0.048728	0.415536	0.520679
YPL178W	0.07992	0.407173	0.350258
YPR007C	-0.189853	0.326489	0.233104
YPR120C	-0.24208	0.441836	0.117129
YDR513W	-0.38997	0.40221	0.407699
YGR088W	-0.361829	0.070296	0.144828
YAL046C	-0.045776	0.267672	0.490418
YNL048W	0.15949	0.53056	-0.032857
YML129C	0.072665	0.568267	-0.099909
YBR139W	0.149225	0.31307	-0.061682
YHR113W	0.033794	0.354851	-0.008066
YAL062W	-0.138203	0.595312	0.317708
YHR059W	-0.137132	0.444866	0.409983
YIR028W	-0.211401	0.561705	0.384409
YJL142C	-0.097741	0.381132	0.59384
YBL090W	-0.01241	0.497552	0.546417
YIL077C	0.017151	0.076262	0.374903
YGR121C	0.302959	0.508889	0.473831
YIR015W	0.541902	0.031182	0.251502
YAL032C	0.379258	0.151048	0.560683
YGR268C	0.503776	0.223917	0.186294
YGR205W	0.380832	-0.039018	0.174445
YDR177W	0.165137	0.138026	0.095191
YDR424C	0.544312	0.136908	0.296232
YKL169C	0.359909	0.219567	0.443499
YDR171W	0.429468	0.306082	0.460116
YER143W	0.452713	0.07469	0.410579
YHR104W	0.294999	0.094228	0.318635
YAR019C	0.307558	-0.045456	0.336087
YGL153W	0.488409	0.370574	0.107519
YIR036C	0.495245	0.405353	0.266084
YGL226W	0.580144	0.394488	0.134224
YGL072C	0.441584	0.362108	0.522455
YMR030W	0.454595	0.242478	0.277863
YLR295C	0.292337	0.274696	0.392508
YPL203W	0.317263	0.216295	0.258075
YBR059C	0.08517	0.22853	0.528457
YHR076W	-0.054778	-0.282952	0.497177
YCR046C	-0.031846	-0.13654	0.309196
YDL079C	0.077043	0.009336	0.307724
YKR085C	0.333343	0.07528	0.3065
YEL033W	0.523338	-0.172586	0.448323
YBL107C	0.171725	0.068583	0.578792
YBL056W	0.264852	-0.119648	0.546363
YKR058W	0.474359	-0.007972	0.597322
YGR212W	0.105383	-0.167965	0.416736
YMR271C	0.368618	-0.395445	0.408667
YIL089W	0.225396	-0.359421	0.47146
YKR089C	0.159884	-0.25714	0.303287
YJL047C	0.253207	-0.095431	0.483835
YOR176W	0.272882	-0.188141	0.255857
YBR269C	0.008071	-0.292066	-0.217237
YBL015W	0.079485	-0.349686	0.043138
YHR138C	0.015968	-0.073676	-0.141383
YDR277C	0.196081	-0.372594	0.08938
YFR028C	0.08435	-0.084541	0.11669
YAL034C	-0.291849	0.082071	0.564629
YDR007W	-0.151284	-0.101554	0.559277
YKR064W	-0.290894	-0.088151	0.257064
YKR068C	-0.143161	-0.327845	0.375505
YAR027W	-0.267538	-0.223713	0.270882
YDL155W	-0.324427	0.00261	0.342771
YKL091C	-0.356474	0.094181	0.483158
YHL031C	-0.325557	-0.348546	0.547806
YGR261C	-0.114508	-0.251808	0.282813
YHR195W	-0.218965	-0.200301	0.435935
YDR084C	-0.376085	-0.149438	0.357793
YPL215W	-0.27348	0.074573	0.199171
YGR076C	0.295904	0.213493	-0.203462
YDR081C	0.536126	0.16665	-0.083878
YFR016C	0.589882	0.241239	0.034249
YDR408C	0.39058	0.238382	-0.245181
YGL018C	0.595835	0.472739	-0.292355
YMR157C	0.542024	0.095611	-0.306839
YBL017C	0.582789	0.490415	-0.345288
YKL150W	0.411364	0.349982	-0.313044
YGL166W	0.489693	0.066927	-0.28684
YNL304W	0.181642	-0.089794	-0.383027
YDR423C	0.205963	-0.012819	-0.196077
YJR062C	0.108545	-0.060348	-0.380811
YML062C	0.103181	-0.076862	-0.359611
YBR244W	-0.116277	-0.170732	-0.378658
YBR022W	0.41347	0.075299	-0.03873
YML100W	0.441349	-0.037997	-0.208686
YBR044C	0.387553	-0.072426	-0.32295
YHR100C	0.302829	-0.126611	-0.109998
YBR173C	0.536637	-0.196489	-0.149406
YOR347C	0.250511	-0.275504	-0.18946
YEL007W	0.275885	-0.289453	0.073136
YMR150C	0.290149	-0.299631	-0.135885
YHR090C	0.556901	-0.218616	-0.048483
YBR174C	0.214066	-0.36111	-0.135826
YJR044C	0.158234	-0.068552	-0.106653
YNR045W	0.023178	-0.156725	-0.162684
YFR029W	0.124503	0.11565	0.096012
YJL155C	0.477379	-0.025125	-0.232603
YJL108C	0.526305	-0.129648	-0.090229
YDR530C	0.431186	-0.318563	-0.383991
YFR030W	0.358732	-0.361336	-0.378287
YBR089W	0.562214	-0.187087	-0.264381
YGL165C	0.564182	-0.337907	-0.003324
YIR014W	0.444658	-0.305957	-0.328597
YKL122C	0.581989	-0.236286	-0.328332
YHR097C	0.42523	-0.333365	0.075608
YJR049C	0.245109	0.005698	-0.193175
YLR060W	0.411538	0.099319	-0.370689
YHL020C	0.161961	0.236097	-0.154245
YER123W	0.279811	0.314851	-0.368626
